"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f01167cfcdeab9665a07bcb664e714e9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_stercoris"
"eae0738ba858df2d22433de0913bc58c","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides(Genus)"
"b167ad9fdf6c2158e6e90d7756049242","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium(Genus)"
"29a9aad667398c46822290d2f9a4bed6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_massiliensis"
"c5c368fa5d36912d8a01dbdf80cf9aea","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","Subdoligranulum(Genus)"
"11b6e085e506436abb45e998147d138a","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium(Genus)"
"6c91b03edc155703d03eca97c5a2597b","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella(Genus)"
"673cdcc11571eff632f9639adc4aa4b2","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","Christensenellaceae_R-7_group(Genus)"
"499c26dbde4691c9dd12aa4400bce7be","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides(Genus)"
"7a788fd4ad85a44927663c33ca823af9","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Ruminococcus_bicirculans"
"8622987ddfa6f1a7d9909f49018cb1f1","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia(Genus)"
"5c4c361695cb59f119cdf583d315aee9","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium(Genus)"
"5743f98d73beef7333f75b4a06355a05","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_plebeius"
"bad5797a61879ba862a8f626a87d1b17","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group(Genus)"
"4d1dd1ab6d69c263ce76517dcdfaf4a9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides(Genus)"
"9b119c3c0fa910deca32fd7571866de7","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium","Catenibacterium(Genus)"
"a8950ea716619e3682e2a34473e5adc7","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter(Genus)"
"98be5346ef1749fd281504e99abf8548","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes(Genus)"
"46e8089f9df0f7a608bcbf5fc3084648","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group(Genus)"
"d963b59f19db6517a9f26908f684545d","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacteriaceae(Family)","Enterobacteriaceae(Family)"
"17f016e3298748a0eb03b67eb9267a19","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","Escherichia-Shigella(Genus)"
"fbd24a58a73dc247aa8bd2e8ab4f1bb2","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","Succinivibrio(Genus)"
"4d4e84214dfdd2547dd11b167fb4f1dd","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","CAG-352","CAG-352(Genus)"
"836b74915e12f96682e46e9e8eb909b5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella(Genus)"
"e3fa90c670b3e7c3588c760c08c991b7","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus(Genus)"
"e6e736770ba0182e08607e5032536759","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea(Genus)"
"bc1326214ab2638d0f63fc58ff411b33","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium]_ruminantium_group","[Eubacterium]_ruminantium_group(Genus)"
"6eb3f747505b027607654373c88891d2","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia(Genus)"
"5a6289b8068d8b7722dafb10cc3d0b76","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","Subdoligranulum(Genus)"
"004ca9d14962355f711fea88ca840425","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae(Family)","Lachnospiraceae(Family)"
"1d3c676d5555d4b2aa01154ec1d44206","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcaceae(Family)","Ruminococcaceae(Family)"
"1de8a8bc685293bc92fccfd080dd1a64","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia(Genus)"
